4.786: [Full GC 8893K->3665K(4020224K), 0.0160609 secs]
4.806: [GC 24646K->14079K(4020224K), 0.0018022 secs]
4.807: [Full GC 14079K->8762K(4020224K), 0.0155604 secs]
4.824: [GC 29744K->8922K(4020224K), 0.0016090 secs]
4.825: [Full GC 8922K->8862K(4020224K), 0.0155045 secs]
4.845: [GC 29844K->19198K(4020224K), 0.0016823 secs]
4.847: [Full GC 19198K->8739K(4020224K), 0.0157431 secs]
4.863: [GC 29721K->8835K(4020224K), 0.0005182 secs]
4.864: [Full GC 8835K->8771K(4020224K), 0.0162523 secs]
4.883: [GC 29753K->19139K(4020224K), 0.0014682 secs]
4.885: [Full GC 19139K->8752K(4020224K), 0.0226189 secs]
4.908: [GC 29734K->8880K(4020224K), 0.0005586 secs]
4.909: [Full GC 8880K->8835K(4020224K), 0.0263010 secs]
4.939: [GC 29817K->14019K(4020224K), 0.0021809 secs]
4.941: [Full GC 14019K->8747K(4020224K), 0.0137054 secs]
4.955: [GC 29729K->8811K(4020224K), 0.0004831 secs]
4.956: [Full GC 8811K->3667K(4020224K), 0.0152007 secs]
4.974: [GC 24649K->8883K(4020224K), 0.0119880 secs]
4.986: [Full GC 8883K->8753K(4020224K), 0.0241179 secs]
5.011: [GC 29735K->8817K(4020224K), 0.0029728 secs]
5.014: [Full GC 8817K->3668K(4020224K), 0.0122912 secs]
5.030: [GC 24650K->14036K(4020224K), 0.0016003 secs]
5.031: [Full GC 14036K->8768K(4020224K), 0.0141969 secs]
5.046: [GC 29750K->8832K(4020224K), 0.0004632 secs]
5.047: [Full GC 8832K->8811K(4020224K), 0.0232313 secs]
5.073: [GC 29793K->19179K(4020224K), 0.0109587 secs]
5.084: [Full GC 19179K->8771K(4020224K), 0.0219479 secs]
5.107: [GC 29753K->8835K(4020224K), 0.0103554 secs]
5.117: [Full GC 8835K->8813K(4020224K), 0.0138449 secs]
